#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
1,Stephen Curry,GSW,63,34.2,10.4,21.7,.482,5.3,12.7,.421,5.7,6.3,.916,3.4,1.9,0.5,5.0,5.5,5.8,1.2,0.1,32.0
2,Bradley Beal,WAS,60,35.8,11.2,23.0,.485,2.2,6.2,.349,6.8,7.7,.889,3.1,2.3,1.2,3.5,4.7,4.4,1.1,0.4,31.3
3,Damian Lillard,POR,67,35.8,9.0,19.9,.451,4.1,10.5,.391,6.7,7.2,.928,3.0,1.5,0.5,3.7,4.2,7.5,0.9,0.3,28.8
4,Joel Embiid,PHI,51,31.1,9.0,17.6,.513,1.1,3.0,.377,9.2,10.7,.859,3.1,2.4,2.2,8.4,10.6,2.8,1.0,1.4,28.5
5,Giannis Antetokounmpo,MIL,61,33.0,10.3,18.0,.569,1.1,3.6,.303,6.5,9.5,.685,3.4,2.8,1.6,9.4,11.0,5.9,1.2,1.2,28.1
6,Luka Doncic,DAL,66,34.3,9.8,20.5,.479,2.9,8.3,.350,5.2,7.1,.730,4.3,2.3,0.8,7.2,8.0,8.6,1.0,0.5,27.7
7,Zach LaVine,CHI,58,35.1,9.8,19.4,.507,3.4,8.2,.419,4.4,5.1,.849,3.5,2.4,0.6,4.4,5.0,4.9,0.8,0.5,27.4
8,Zion Williamson,NOP,61,33.2,10.4,17.0,.611,0.2,0.6,.294,6.0,8.7,.698,2.7,2.2,2.7,4.5,7.2,3.7,0.9,0.6,27.0
9,Kevin Durant,BRK,35,33.0,9.3,17.2,.537,2.4,5.4,.450,6.0,6.8,.882,3.4,2.0,0.4,6.7,7.1,5.6,0.7,1.3,26.9
10,Kyrie Irving,BRK,54,34.9,10.2,20.1,.506,2.8,7.0,.402,3.7,4.0,.922,2.4,2.6,1.0,3.8,4.8,6.0,1.4,0.7,26.9
11,Jayson Tatum,BOS,64,35.8,9.5,20.6,.459,2.9,7.6,.386,4.6,5.3,.868,2.7,1.9,0.8,6.6,7.4,4.3,1.2,0.5,26.4
12,Donovan Mitchell,UTA,53,33.4,9.0,20.6,.438,3.4,8.7,.386,5.0,6.0,.845,2.8,2.2,0.9,3.5,4.4,5.2,1.0,0.3,26.4
13,Nikola Jokic,DEN,72,34.6,10.2,18.0,.566,1.3,3.3,.388,4.8,5.5,.868,3.1,2.7,2.8,8.0,10.8,8.3,1.3,0.7,26.4
14,Devin Booker,PHX,67,33.9,9.3,19.2,.484,1.9,5.5,.340,5.1,5.9,.867,3.1,2.7,0.5,3.7,4.2,4.3,0.8,0.2,25.6
15,Trae Young,ATL,63,33.7,7.7,17.7,.438,2.2,6.3,.343,7.7,8.7,.886,4.1,1.8,0.6,3.3,3.9,9.4,0.8,0.2,25.3
16,De'Aaron Fox,SAC,58,35.1,9.1,19.1,.477,1.8,5.5,.322,5.2,7.2,.719,3.0,2.9,0.6,2.9,3.5,7.2,1.5,0.5,25.2
17,LeBron James,LAL,45,33.4,9.4,18.3,.513,2.3,6.3,.365,4.0,5.7,.698,3.7,1.6,0.6,7.0,7.7,7.8,1.1,0.6,25.0
18,Kawhi Leonard,LAC,52,34.1,8.9,17.5,.512,1.9,4.9,.398,5.0,5.7,.885,2.0,1.6,1.1,5.4,6.5,5.2,1.6,0.4,24.8
19,Karl-Anthony Towns,MIN,50,33.8,8.5,17.5,.486,2.4,6.3,.387,5.3,6.2,.859,3.2,3.7,2.7,7.9,10.6,4.5,0.8,1.1,24.8
20,Jaylen Brown,BOS,58,34.5,9.3,19.2,.484,2.8,7.1,.397,3.3,4.3,.764,2.7,2.9,1.2,4.8,6.0,3.4,1.2,0.6,24.7
21,James Harden,BRK,44,36.6,7.8,16.7,.466,2.8,7.6,.362,6.3,7.3,.861,4.0,2.2,0.8,7.1,7.9,10.8,1.2,0.8,24.6
22,Collin Sexton,CLE,60,35.3,8.8,18.4,.475,1.6,4.4,.371,5.2,6.4,.815,2.8,2.6,1.0,2.1,3.1,4.4,1.0,0.2,24.3
23,Julius Randle,NYK,71,37.6,8.5,18.6,.456,2.3,5.5,.411,4.9,6.0,.811,3.4,3.2,1.2,9.0,10.2,6.0,0.9,0.3,24.1
24,Brandon Ingram,NOP,61,34.3,8.4,18.0,.466,2.3,6.1,.381,4.6,5.2,.878,2.5,2.0,0.6,4.3,4.9,4.9,0.7,0.6,23.8
25,Nikola Vucevic,CHI,70,33.5,9.5,19.9,.477,2.5,6.3,.400,1.9,2.2,.840,1.8,2.0,2.1,9.6,11.7,3.8,0.9,0.7,23.4
26,Paul George,LAC,54,33.7,8.2,17.6,.467,3.2,7.7,.411,3.7,4.2,.868,3.3,2.4,0.8,5.8,6.6,5.2,1.1,0.4,23.3
27,C.J. McCollum,POR,47,34.0,8.6,18.8,.458,3.6,8.9,.402,2.3,2.8,.812,1.4,1.9,0.6,3.3,3.9,4.7,0.9,0.4,23.1
28,Jerami Grant,DET,54,33.9,7.4,17.3,.429,2.1,6.1,.350,5.4,6.4,.845,2.0,2.3,0.6,4.0,4.6,2.8,0.6,1.1,22.3
29,Russell Westbrook,WAS,65,36.4,8.4,19.0,.439,1.3,4.2,.315,4.2,6.4,.656,4.8,2.9,1.7,9.9,11.5,11.7,1.4,0.4,22.2
30,DeMar DeRozan,SAS,61,33.7,7.5,15.1,.495,0.3,1.2,.257,6.3,7.2,.880,2.0,2.1,0.7,3.6,4.2,6.9,0.9,0.2,21.6
31,Jimmy Butler,MIA,52,33.6,7.0,14.2,.497,0.5,2.0,.245,6.9,8.0,.863,2.1,1.4,1.8,5.1,6.9,7.1,2.1,0.3,21.5
32,Pascal Siakam,TOR,56,35.8,7.8,17.2,.455,1.3,4.4,.297,4.4,5.4,.827,2.3,3.1,1.7,5.5,7.2,4.5,1.1,0.7,21.4
33,Malcolm Brogdon,IND,56,34.5,7.9,17.5,.453,2.6,6.7,.388,2.7,3.2,.864,2.1,2.0,1.0,4.2,5.2,5.9,0.9,0.3,21.2
34,Terry Rozier,CHA,69,34.5,7.4,16.4,.450,3.2,8.3,.389,2.4,2.9,.817,1.9,1.7,0.7,3.7,4.4,4.2,1.3,0.4,20.4
35,Khris Middleton,MIL,68,33.4,7.5,15.8,.476,2.2,5.4,.414,3.1,3.5,.898,2.6,2.4,0.8,5.2,6.0,5.4,1.1,0.1,20.4
36,Domantas Sabonis,IND,62,36.0,7.8,14.6,.535,0.8,2.6,.321,3.9,5.3,.732,3.4,3.3,2.4,9.5,12.0,6.7,1.2,0.5,20.3
37,Fred VanVleet,TOR,52,36.5,6.5,16.7,.389,3.3,9.2,.366,3.2,3.7,.885,1.8,2.3,0.6,3.6,4.2,6.3,1.7,0.7,19.6
38,Tobias Harris,PHI,62,32.5,7.6,14.9,.512,1.3,3.4,.394,2.9,3.3,.892,1.7,1.9,1.0,5.8,6.8,3.5,0.9,0.8,19.5
39,Anthony Edwards,MIN,72,32.1,7.0,16.8,.417,2.4,7.2,.329,2.9,3.8,.776,2.2,1.8,0.8,3.8,4.7,2.9,1.1,0.5,19.3
40,Ja Morant,MEM,63,32.6,6.8,15.2,.449,1.2,3.8,.303,4.3,5.9,.728,3.2,1.4,0.9,3.1,4.0,7.4,0.9,0.2,19.1
41,"Michael Porter, Jr.",DEN,61,31.3,7.3,13.4,.542,2.8,6.3,.445,1.7,2.2,.791,1.3,2.1,1.5,5.8,7.3,1.1,0.7,0.9,19.0
42,Bam Adebayo,MIA,64,33.5,7.1,12.5,.570,0.0,0.1,.250,4.4,5.5,.799,2.6,2.3,2.2,6.7,9.0,5.4,1.2,1.0,18.7
43,Norman Powell,POR,69,32.0,6.3,13.3,.477,2.5,6.0,.411,3.4,3.9,.871,1.7,2.3,0.6,2.5,3.1,1.9,1.2,0.3,18.6
44,Andrew Wiggins,GSW,71,33.3,7.1,14.9,.477,2.0,5.2,.380,2.4,3.4,.714,1.8,2.2,1.2,3.7,4.9,2.4,0.9,1.0,18.6
45,Jordan Clarkson,UTA,68,26.7,6.7,15.8,.425,3.1,8.8,.347,1.9,2.1,.896,1.7,1.6,0.7,3.3,4.0,2.5,0.9,0.1,18.4
46,Jrue Holiday,MIL,59,32.3,7.0,13.9,.503,1.9,4.8,.392,1.8,2.3,.787,2.2,1.7,1.2,3.3,4.5,6.1,1.6,0.6,17.7
47,John Collins,ATL,63,29.3,6.8,12.2,.556,1.3,3.3,.399,2.7,3.2,.833,1.3,3.1,1.9,5.5,7.4,1.2,0.5,1.0,17.6
48,R.J. Barrett,NYK,72,34.9,6.5,14.7,.441,1.7,4.3,.401,2.9,3.8,.746,1.9,2.6,0.9,4.8,5.8,3.0,0.7,0.3,17.6
49,Darius Garland,CLE,54,33.1,6.7,14.9,.451,1.9,4.9,.395,2.1,2.4,.848,3.0,2.0,0.4,2.0,2.4,6.1,1.2,0.1,17.4
50,Dillon Brooks,MEM,67,29.8,6.4,15.4,.419,1.9,5.6,.344,2.4,2.9,.815,1.8,3.5,0.8,2.1,2.9,2.3,1.2,0.4,17.2
51,Jonas Valanciunas,MEM,62,28.3,7.1,12.0,.592,0.3,0.9,.368,2.5,3.3,.773,1.6,2.9,4.1,8.4,12.5,1.8,0.6,0.9,17.1
52,Bojan Bogdanovic,UTA,72,30.8,5.6,12.8,.439,2.5,6.4,.390,3.2,3.7,.879,1.8,1.6,0.6,3.3,3.9,1.9,0.6,0.1,17.0
53,Tim Hardaway Jr.,DAL,70,28.4,5.8,13.0,.447,3.0,7.6,.391,2.0,2.5,.816,0.9,1.6,0.3,3.0,3.3,1.8,0.4,0.2,16.6
54,Buddy Hield,SAC,71,34.3,5.7,14.0,.406,4.0,10.2,.391,1.2,1.5,.846,1.8,2.5,0.4,4.3,4.7,3.6,0.9,0.4,16.6
55,Chris Paul,PHX,70,31.4,6.3,12.6,.499,1.5,3.7,.395,2.4,2.6,.934,2.2,2.4,0.4,4.1,4.5,8.9,1.4,0.3,16.4
56,Bogdan Bogdanovic,ATL,44,29.7,6.1,12.8,.473,3.3,7.6,.438,0.9,1.0,.909,1.2,2.2,0.5,3.2,3.6,3.3,1.1,0.3,16.4
57,Mike Conley,UTA,51,29.4,5.6,12.5,.444,2.7,6.6,.412,2.4,2.8,.852,1.9,1.9,0.7,2.8,3.5,6.0,1.4,0.2,16.2
58,Harrison Barnes,SAC,58,36.2,5.5,11.1,.497,1.7,4.4,.391,3.4,4.1,.830,1.6,1.3,1.1,5.5,6.6,3.5,0.7,0.2,16.1
59,LaMelo Ball,CHA,51,28.8,5.7,13.2,.436,1.8,5.1,.352,2.5,3.2,.758,2.8,2.7,1.2,4.7,5.9,6.1,1.6,0.4,15.7
60,Dejounte Murray,SAS,67,31.9,6.6,14.5,.453,0.9,3.0,.317,1.6,2.0,.791,1.7,2.0,0.9,6.2,7.1,5.4,1.5,0.1,15.7
61,"Kelly Oubre, Jr.",GSW,55,30.7,5.8,13.2,.439,1.6,5.2,.316,2.2,3.2,.695,1.3,2.2,1.5,4.5,6.0,1.3,1.0,0.8,15.4
62,Dennis Schroder,LAL,61,32.1,5.4,12.5,.437,1.2,3.5,.335,3.4,4.0,.848,2.7,2.6,0.5,3.0,3.5,5.8,1.1,0.2,15.4
63,"Gary Trent, Jr.",TOR,58,31.1,5.5,13.5,.408,2.8,7.4,.385,1.4,1.8,.783,0.7,1.6,0.5,2.2,2.6,1.4,1.0,0.2,15.3
64,Clint Capela,ATL,63,30.1,6.6,11.0,.594,0.0,0.0,.000,2.1,3.6,.573,1.2,2.3,4.7,9.6,14.3,0.8,0.7,2.0,15.2
65,Tyler Herro,MIA,54,30.3,5.7,12.9,.439,2.0,5.5,.360,1.7,2.2,.803,1.9,1.3,0.5,4.5,5.0,3.4,0.6,0.3,15.1
66,Coby White,CHI,69,31.2,5.4,13.1,.416,2.4,6.6,.359,1.9,2.1,.901,2.3,2.6,0.4,3.7,4.1,4.8,0.6,0.2,15.1
